# ;;;;;;Nedladdat från datavärdskapet för luft, SMHI, http://www.smhi.se/datavardluft, 2025-12-08 15:54:00
# ;;;;;;Tidsangivelser i UTC+1, Svensk normaltid
#
#Stationsnamn;Nationell stationskod;Klassificering;Longitud;Latitud
#Umeå Förskolan Uven;37658;Urban Background;20.2893;63.8208
#
#Ämne;Ämnesbeskrivning;Enhet;Mäthöjd;Inlet-id
#PM2.5;Particulate matter < 2.5 µm;ug.m-3;3;1636
#
Start;Slut;PM2.5 (1636)
2016-12-05;2016-12-06;1.60
2016-12-06;2016-12-07;5.20
2016-12-07;2016-12-08;1.90
2016-12-08;2016-12-09;5.20
2016-12-09;2016-12-10;1.40
2016-12-10;2016-12-11;1.90
2016-12-11;2016-12-12;2.50
2016-12-12;2016-12-13;1.70
2016-12-13;2016-12-14;1.80
2016-12-14;2016-12-15;5.20
2016-12-15;2016-12-16;4.70
2016-12-16;2016-12-17;4.70
2016-12-17;2016-12-18;7.30
2016-12-18;2016-12-19;1.40
2016-12-19;2016-12-20;1.30
2016-12-20;2016-12-21;1.70
2016-12-21;2016-12-22;2.50
2016-12-22;2016-12-23;2.20
2016-12-23;2016-12-24;1.90
2016-12-24;2016-12-25;1.90
2016-12-25;2016-12-26;1.80
2016-12-26;2016-12-27;3.00
2016-12-27;2016-12-28;1.10
2016-12-28;2016-12-29;2.60
2016-12-29;2016-12-30;3.50
2016-12-30;2016-12-31;2.00
2016-12-31;2017-01-01;2.60
2017-01-01;2017-01-02;3.90
2017-01-02;2017-01-03;2.40
2017-01-03;2017-01-04;2.40
2017-01-04;2017-01-05;3.10
2017-01-05;2017-01-06;5.10
2017-01-06;2017-01-07;5.80
2017-01-07;2017-01-08;2.40
2017-01-08;2017-01-09;1.50
2017-01-09;2017-01-10;2.90
2017-01-10;2017-01-11;2.30
2017-01-11;2017-01-12;7.40
2017-01-12;2017-01-13;8.40
2017-01-13;2017-01-14;8.30
2017-01-14;2017-01-15;4.70
2017-01-15;2017-01-16;3.90
2017-01-16;2017-01-17;3.80
2017-01-17;2017-01-18;2.70
2017-01-18;2017-01-19;1.90
2017-01-19;2017-01-20;2.40
2017-01-20;2017-01-21;2.80
2017-01-21;2017-01-22;3.20
2017-01-22;2017-01-23;1.50
2017-01-23;2017-01-24;1.20
2017-01-24;2017-01-25;3.20
2017-01-25;2017-01-26;2.40
2017-01-26;2017-01-27;2.10
2017-01-27;2017-01-28;6.70
2017-01-28;2017-01-29;6.30
2017-01-29;2017-01-30;13.4
2017-01-30;2017-01-31;6.10
2017-01-31;2017-02-01;5.00
2017-02-01;2017-02-02;2.60
2017-02-02;2017-02-03;4.00
2017-02-03;2017-02-04;6.90
2017-02-04;2017-02-05;9.40
2017-02-05;2017-02-06;3.30
2017-02-06;2017-02-07;2.40
2017-02-07;2017-02-08;5.40
2017-02-08;2017-02-09;4.60
2017-02-09;2017-02-10;2.80
2017-02-10;2017-02-11;5.50
2017-02-11;2017-02-12;4.30
2017-02-12;2017-02-13;3.90
2017-02-13;2017-02-14;0.800
2017-02-14;2017-02-15;2.30
2017-02-15;2017-02-16;2.90
2017-02-16;2017-02-17;3.50
2017-02-17;2017-02-18;1.50
2017-02-18;2017-02-19;1.10
2017-02-19;2017-02-20;1.10
2017-02-20;2017-02-21;2.50
2017-02-21;2017-02-22;3.20
2017-02-22;2017-02-23;2.40
2017-02-23;2017-02-24;2.40
2017-02-24;2017-02-25;1.80
2017-02-25;2017-02-26;2.80
2017-02-26;2017-02-27;3.20
2017-02-27;2017-02-28;4.60
2017-02-28;2017-03-01;2.80
2017-03-01;2017-03-02;3.60
2017-03-02;2017-03-03;3.20
2017-03-03;2017-03-04;1.90
2017-03-04;2017-03-05;2.70
2017-03-05;2017-03-06;3.40
2017-03-06;2017-03-07;5.00
2017-03-07;2017-03-08;3.80
2017-03-08;2017-03-09;4.10
2017-03-09;2017-03-10;3.50
2017-03-10;2017-03-11;2.50
2017-03-11;2017-03-12;1.30
2017-03-12;2017-03-13;3.20
2017-03-13;2017-03-14;4.40
2017-03-14;2017-03-15;3.10
2017-03-15;2017-03-16;1.10
2017-03-16;2017-03-17;1.60
2017-03-17;2017-03-18;2.40
2017-03-18;2017-03-19;1.80
2017-03-19;2017-03-20;2.10
2017-03-20;2017-03-21;2.30
2017-03-21;2017-03-22;2.30
2017-03-22;2017-03-23;0.900
2017-03-23;2017-03-24;2.40
2017-03-24;2017-03-25;1.50
2017-03-25;2017-03-26;2.30
2017-03-26;2017-03-27;2.20
2017-03-27;2017-03-28;2.40
2017-03-28;2017-03-29;2.90
2017-03-29;2017-03-30;4.80
2017-03-30;2017-03-31;2.50
2017-03-31;2017-04-01;1.90
2017-04-01;2017-04-02;1.80
2017-04-02;2017-04-03;2.90
2017-04-03;2017-04-04;2.70
2017-04-04;2017-04-05;2.50
2017-04-05;2017-04-06;3.50
2017-04-06;2017-04-07;2.80
2017-04-07;2017-04-08;3.20
2017-04-08;2017-04-09;2.60
2017-04-09;2017-04-10;1.20
2017-04-10;2017-04-11;2.90
2017-04-11;2017-04-12;3.20
2017-04-12;2017-04-13;3.30
2017-04-13;2017-04-14;6.90
2017-04-14;2017-04-15;4.30
2017-04-15;2017-04-16;4.50
2017-04-16;2017-04-17;3.80
2017-04-17;2017-04-18;5.10
2017-04-18;2017-04-19;4.20
2017-04-19;2017-04-20;5.20
2017-04-20;2017-04-21;4.70
2017-04-21;2017-04-22;5.80
2017-04-22;2017-04-23;2.10
2017-04-23;2017-04-24;3.20
2017-04-24;2017-04-25;2.80
2017-04-25;2017-04-26;8.80
2017-04-26;2017-04-27;4.00
2017-04-27;2017-04-28;4.40
2017-04-28;2017-04-29;5.80
2017-04-29;2017-04-30;6.10
2017-04-30;2017-05-01;
2017-05-01;2017-05-02;4.20
2017-05-02;2017-05-03;3.00
2017-05-03;2017-05-04;3.20
2017-05-04;2017-05-05;3.30
2017-05-05;2017-05-06;3.60
2017-05-06;2017-05-07;1.70
2017-05-07;2017-05-08;1.90
2017-05-08;2017-05-09;2.20
2017-05-09;2017-05-10;2.60
2017-05-10;2017-05-11;2.80
2017-05-11;2017-05-12;4.30
2017-05-12;2017-05-13;4.10
2017-05-13;2017-05-14;3.10
2017-05-14;2017-05-15;3.80
2017-05-15;2017-05-16;3.50
2017-05-16;2017-05-17;4.20
2017-05-17;2017-05-18;4.00
2017-05-18;2017-05-19;2.80
2017-05-19;2017-05-20;2.90
2017-05-20;2017-05-21;2.10
2017-05-21;2017-05-22;2.50
2017-05-22;2017-05-23;4.90
2017-05-23;2017-05-24;2.30
2017-05-24;2017-05-25;2.20
2017-05-25;2017-05-26;0.800
2017-05-26;2017-05-27;1.90
2017-05-27;2017-05-28;1.70
2017-05-28;2017-05-29;2.50
2017-05-29;2017-05-30;1.70
2017-05-30;2017-05-31;2.80
2017-05-31;2017-06-01;1.80
2017-06-01;2017-06-02;1.60
2017-06-02;2017-06-03;3.10
2017-06-03;2017-06-04;2.40
2017-06-04;2017-06-05;2.00
2017-06-05;2017-06-06;2.40
2017-06-06;2017-06-07;4.00
2017-06-07;2017-06-08;5.90
2017-06-08;2017-06-09;5.30
2017-06-09;2017-06-10;4.70
2017-06-10;2017-06-11;3.30
2017-06-11;2017-06-12;4.80
2017-06-12;2017-06-13;6.40
2017-06-13;2017-06-14;3.90
2017-06-14;2017-06-15;3.70
2017-06-15;2017-06-16;3.30
2017-06-16;2017-06-17;4.40
2017-06-17;2017-06-18;8.80
2017-06-18;2017-06-19;5.50
2017-06-19;2017-06-20;3.60
2017-06-20;2017-06-21;2.80
2017-06-21;2017-06-22;1.90
2017-06-22;2017-06-23;1.30
2017-06-23;2017-06-24;2.10
2017-06-24;2017-06-25;2.30
2017-06-25;2017-06-26;2.40
2017-06-26;2017-06-27;2.50
2017-06-27;2017-06-28;1.80
2017-06-28;2017-06-29;1.80
2017-06-29;2017-06-30;2.20
2017-06-30;2017-07-01;3.40
2017-07-01;2017-07-02;3.20
2017-07-02;2017-07-03;3.50
2017-07-03;2017-07-04;2.90
2017-07-04;2017-07-05;1.80
2017-07-05;2017-07-06;1.40
2017-07-06;2017-07-07;1.50
2017-07-07;2017-07-08;2.50
2017-07-08;2017-07-09;2.60
2017-07-09;2017-07-10;3.90
2017-07-10;2017-07-11;5.10
2017-07-11;2017-07-12;3.80
2017-07-12;2017-07-13;5.80
2017-07-13;2017-07-14;1.90
2017-07-14;2017-07-15;1.00
2017-07-15;2017-07-16;1.60
2017-07-16;2017-07-17;3.50
2017-07-17;2017-07-18;2.20
2017-07-18;2017-07-19;2.00
2017-07-19;2017-07-20;2.40
2017-07-20;2017-07-21;2.10
2017-07-21;2017-07-22;4.20
2017-07-22;2017-07-23;2.90
2017-07-23;2017-07-24;2.80
2017-07-24;2017-07-25;4.20
2017-07-25;2017-07-26;4.10
2017-07-26;2017-07-27;4.50
2017-07-27;2017-07-28;7.50
2017-07-28;2017-07-29;6.50
2017-07-29;2017-07-30;5.30
2017-07-30;2017-07-31;4.20
2017-07-31;2017-08-01;6.30
2017-08-01;2017-08-02;4.10
2017-08-02;2017-08-03;4.00
2017-08-03;2017-08-04;3.50
2017-08-04;2017-08-05;3.90
2017-08-05;2017-08-06;3.20
2017-08-06;2017-08-07;6.50
2017-08-07;2017-08-08;9.20
2017-08-08;2017-08-09;4.60
2017-08-09;2017-08-10;2.20
2017-08-10;2017-08-11;4.30
2017-08-11;2017-08-12;3.10
2017-08-12;2017-08-13;3.50
2017-08-13;2017-08-14;2.20
2017-08-14;2017-08-15;1.50
2017-08-15;2017-08-16;2.70
2017-08-16;2017-08-17;4.00
2017-08-17;2017-08-18;2.00
2017-08-18;2017-08-19;
2017-08-19;2017-08-20;
2017-08-20;2017-08-21;
2017-08-21;2017-08-22;
2017-08-22;2017-08-23;1.00
2017-08-23;2017-08-24;1.90
2017-08-24;2017-08-25;2.30
2017-08-25;2017-08-26;1.10
2017-08-26;2017-08-27;1.00
2017-08-27;2017-08-28;3.90
2017-08-28;2017-08-29;2.50
2017-08-29;2017-08-30;4.20
2017-08-30;2017-08-31;3.60
2017-08-31;2017-09-01;3.10
2017-09-01;2017-09-02;1.70
2017-09-02;2017-09-03;1.70
2017-09-03;2017-09-04;1.80
2017-09-04;2017-09-05;2.90
2017-09-05;2017-09-06;3.80
2017-09-06;2017-09-07;3.00
2017-09-07;2017-09-08;3.90
2017-09-08;2017-09-09;1.50
2017-09-09;2017-09-10;1.70
2017-09-10;2017-09-11;2.40
2017-09-11;2017-09-12;2.80
2017-09-12;2017-09-13;3.80
2017-09-13;2017-09-14;3.90
2017-09-14;2017-09-15;2.70
2017-09-15;2017-09-16;1.60
2017-09-16;2017-09-17;1.10
2017-09-17;2017-09-18;1.60
2017-09-18;2017-09-19;1.80
2017-09-19;2017-09-20;2.30
2017-09-20;2017-09-21;1.80
2017-09-21;2017-09-22;2.30
2017-09-22;2017-09-23;3.70
2017-09-23;2017-09-24;3.60
2017-09-24;2017-09-25;4.30
2017-09-25;2017-09-26;6.10
2017-09-26;2017-09-27;17.0
2017-09-27;2017-09-28;7.60
2017-09-28;2017-09-29;8.00
2017-09-29;2017-09-30;6.40
2017-09-30;2017-10-01;3.90
2017-10-01;2017-10-02;3.30
2017-10-02;2017-10-03;7.00
2017-10-03;2017-10-04;3.50
2017-10-04;2017-10-05;1.60
2017-10-05;2017-10-06;1.00
2017-10-06;2017-10-07;2.20
2017-10-07;2017-10-08;0.700
2017-10-08;2017-10-09;1.10
2017-10-09;2017-10-10;1.90
2017-10-10;2017-10-11;1.00
2017-10-11;2017-10-12;1.40
2017-10-12;2017-10-13;1.30
2017-10-13;2017-10-14;2.60
2017-10-14;2017-10-15;1.80
2017-10-15;2017-10-16;1.70
2017-10-16;2017-10-17;1.30
2017-10-17;2017-10-18;2.20
2017-10-18;2017-10-19;1.70
2017-10-19;2017-10-20;4.40
2017-10-20;2017-10-21;2.30
2017-10-21;2017-10-22;2.70
2017-10-22;2017-10-23;2.80
2017-10-23;2017-10-24;2.70
2017-10-24;2017-10-25;2.40
2017-10-25;2017-10-26;2.70
2017-10-26;2017-10-27;3.40
2017-10-27;2017-10-28;1.60
2017-10-28;2017-10-29;0.800
2017-10-29;2017-10-30;0.600
2017-10-30;2017-10-31;1.60
2017-10-31;2017-11-01;3.60
2017-11-01;2017-11-02;1.30
2017-11-02;2017-11-03;1.10
2017-11-03;2017-11-04;1.60
2017-11-04;2017-11-05;4.00
2017-11-05;2017-11-06;6.40
2017-11-06;2017-11-07;2.60
2017-11-07;2017-11-08;3.00
2017-11-08;2017-11-09;3.30
2017-11-09;2017-11-10;2.90
2017-11-10;2017-11-11;3.50
2017-11-11;2017-11-12;3.30
2017-11-12;2017-11-13;2.80
2017-11-13;2017-11-14;1.40
2017-11-14;2017-11-15;4.50
2017-11-15;2017-11-16;
2017-11-16;2017-11-17;1.40
2017-11-17;2017-11-18;1.90
2017-11-18;2017-11-19;1.50
2017-11-19;2017-11-20;3.60
2017-11-20;2017-11-21;2.20
2017-11-21;2017-11-22;2.20
2017-11-22;2017-11-23;2.70
2017-11-23;2017-11-24;4.30
2017-11-24;2017-11-25;3.00
2017-11-25;2017-11-26;4.40
2017-11-26;2017-11-27;1.60
2017-11-27;2017-11-28;1.20
2017-11-28;2017-11-29;1.00
2017-11-29;2017-11-30;1.70
2017-11-30;2017-12-01;3.10
2017-12-01;2017-12-02;4.30
2017-12-02;2017-12-03;1.50
2017-12-03;2017-12-04;1.90
2017-12-04;2017-12-05;2.20
2017-12-05;2017-12-06;2.50
2017-12-06;2017-12-07;4.40
2017-12-07;2017-12-08;1.40
2017-12-08;2017-12-09;2.20
2017-12-09;2017-12-10;1.10
2017-12-10;2017-12-11;1.90
2017-12-11;2017-12-12;2.30
2017-12-12;2017-12-13;3.30
2017-12-13;2017-12-14;2.60
2017-12-14;2017-12-15;3.80
2017-12-15;2017-12-16;4.70
2017-12-16;2017-12-17;2.60
2017-12-17;2017-12-18;5.10
2017-12-18;2017-12-19;5.30
2017-12-19;2017-12-20;2.20
2017-12-20;2017-12-21;2.10
2017-12-21;2017-12-22;1.80
2017-12-22;2017-12-23;1.50
2017-12-23;2017-12-24;1.20
2017-12-24;2017-12-25;0.800
2017-12-25;2017-12-26;2.40
2017-12-26;2017-12-27;2.00
2017-12-27;2017-12-28;3.20
2017-12-28;2017-12-29;5.30
2017-12-29;2017-12-30;2.50
2017-12-30;2017-12-31;1.50
2017-12-31;2018-01-01;4.30
2018-01-01;2018-01-02;
2018-01-02;2018-01-03;
2018-01-03;2018-01-04;
2018-01-04;2018-01-05;1.60
2018-01-05;2018-01-06;1.40
2018-01-06;2018-01-07;0.800
2018-01-07;2018-01-08;1.00
2018-01-08;2018-01-09;2.20
2018-01-09;2018-01-10;3.50
2018-01-10;2018-01-11;4.90
2018-01-11;2018-01-12;4.50
2018-01-12;2018-01-13;2.40
2018-01-13;2018-01-14;3.80
2018-01-14;2018-01-15;3.70
2018-01-15;2018-01-16;6.50
2018-01-16;2018-01-17;8.10
2018-01-17;2018-01-18;6.20
2018-01-18;2018-01-19;
2018-01-19;2018-01-20;4.10
2018-01-20;2018-01-21;6.90
2018-01-21;2018-01-22;6.40
2018-01-22;2018-01-23;4.50
2018-01-23;2018-01-24;5.10
2018-01-24;2018-01-25;3.10
2018-01-25;2018-01-26;1.30
2018-01-26;2018-01-27;3.50
2018-01-27;2018-01-28;2.40
2018-01-28;2018-01-29;4.00
2018-01-29;2018-01-30;4.20
2018-01-30;2018-01-31;3.10
2018-01-31;2018-02-01;3.90
2018-02-01;2018-02-02;
2018-02-02;2018-02-03;3.80
2018-02-03;2018-02-04;3.50
2018-02-04;2018-02-05;4.10
2018-02-05;2018-02-06;7.10
2018-02-06;2018-02-07;2.90
2018-02-07;2018-02-08;5.10
2018-02-08;2018-02-09;9.60
2018-02-09;2018-02-10;5.10
2018-02-10;2018-02-11;3.70
2018-02-11;2018-02-12;3.70
2018-02-12;2018-02-13;9.90
2018-02-13;2018-02-14;6.10
2018-02-14;2018-02-15;2.50
2018-02-15;2018-02-16;4.00
2018-02-16;2018-02-17;6.60
2018-02-17;2018-02-18;6.10
2018-02-18;2018-02-19;7.00
2018-02-19;2018-02-20;9.70
2018-02-20;2018-02-21;7.80
2018-02-21;2018-02-22;7.10
2018-02-22;2018-02-23;6.20
2018-02-23;2018-02-24;4.40
2018-02-24;2018-02-25;4.80
2018-02-25;2018-02-26;2.00
2018-02-26;2018-02-27;1.80
2018-02-27;2018-02-28;7.50
2018-02-28;2018-03-01;9.30
2018-03-01;2018-03-02;7.30
2018-03-02;2018-03-03;4.00
2018-03-03;2018-03-04;3.20
2018-03-04;2018-03-05;2.50
2018-03-05;2018-03-06;2.80
2018-03-06;2018-03-07;4.30
2018-03-07;2018-03-08;3.90
2018-03-08;2018-03-09;4.60
2018-03-09;2018-03-10;5.90
2018-03-10;2018-03-11;6.00
2018-03-11;2018-03-12;7.10
2018-03-12;2018-03-13;6.50
2018-03-13;2018-03-14;4.60
2018-03-14;2018-03-15;2.40
2018-03-15;2018-03-16;2.30
2018-03-16;2018-03-17;2.50
2018-03-17;2018-03-18;2.20
2018-03-18;2018-03-19;1.20
2018-03-19;2018-03-20;1.30
2018-03-20;2018-03-21;3.80
2018-03-21;2018-03-22;2.10
2018-03-22;2018-03-23;1.30
2018-03-23;2018-03-24;4.00
2018-03-24;2018-03-25;2.80
2018-03-25;2018-03-26;2.80
2018-03-26;2018-03-27;2.40
2018-03-27;2018-03-28;2.20
2018-03-28;2018-03-29;1.80
2018-03-29;2018-03-30;2.70
2018-03-30;2018-03-31;2.20
2018-03-31;2018-04-01;3.40
2018-04-01;2018-04-02;3.80
2018-04-02;2018-04-03;3.00
2018-04-03;2018-04-04;5.10
2018-04-04;2018-04-05;5.20
2018-04-05;2018-04-06;2.00
2018-04-06;2018-04-07;1.30
2018-04-07;2018-04-08;1.90
2018-04-08;2018-04-09;2.30
2018-04-09;2018-04-10;1.70
2018-04-10;2018-04-11;4.70
2018-04-11;2018-04-12;3.20
2018-04-12;2018-04-13;6.50
2018-04-13;2018-04-14;6.60
2018-04-14;2018-04-15;7.70
2018-04-15;2018-04-16;19.7
2018-04-16;2018-04-17;19.4
2018-04-17;2018-04-18;18.1
2018-04-18;2018-04-19;7.80
2018-04-19;2018-04-20;12.2
2018-04-20;2018-04-21;3.60
2018-04-21;2018-04-22;3.60
2018-04-22;2018-04-23;3.50
2018-04-23;2018-04-24;2.70
2018-04-24;2018-04-25;7.00
2018-04-25;2018-04-26;6.20
2018-04-26;2018-04-27;6.30
2018-04-27;2018-04-28;4.00
2018-04-28;2018-04-29;4.50
2018-04-29;2018-04-30;4.00
2018-04-30;2018-05-01;4.80
2018-05-01;2018-05-02;2.80
2018-05-02;2018-05-03;3.10
2018-05-03;2018-05-04;1.40
2018-05-04;2018-05-05;3.20
2018-05-05;2018-05-06;4.50
2018-05-06;2018-05-07;6.50
2018-05-07;2018-05-08;2.80
2018-05-08;2018-05-09;6.70
2018-05-09;2018-05-10;3.70
2018-05-10;2018-05-11;6.50
2018-05-11;2018-05-12;8.60
2018-05-12;2018-05-13;
2018-05-13;2018-05-14;11.3
2018-05-14;2018-05-15;10.0
2018-05-15;2018-05-16;12.6
2018-05-16;2018-05-17;3.10
2018-05-17;2018-05-18;2.40
2018-05-18;2018-05-19;3.60
2018-05-19;2018-05-20;3.90
2018-05-20;2018-05-21;10.0
2018-05-21;2018-05-22;13.3
2018-05-22;2018-05-23;4.70
2018-05-23;2018-05-24;7.90
2018-05-24;2018-05-25;
2018-05-25;2018-05-26;19.2
2018-05-26;2018-05-27;7.40
2018-05-27;2018-05-28;4.60
2018-05-28;2018-05-29;15.2
2018-05-29;2018-05-30;26.3
2018-05-30;2018-05-31;3.80
2018-05-31;2018-06-01;5.40
2018-06-01;2018-06-02;9.00
2018-06-02;2018-06-03;4.20
2018-06-03;2018-06-04;4.80
2018-06-04;2018-06-05;14.1
2018-06-05;2018-06-06;1.80
2018-06-06;2018-06-07;1.70
2018-06-07;2018-06-08;2.30
2018-06-08;2018-06-09;2.60
2018-06-09;2018-06-10;2.20
2018-06-10;2018-06-11;2.50
2018-06-11;2018-06-12;2.90
2018-06-12;2018-06-13;1.60
2018-06-13;2018-06-14;2.40
2018-06-14;2018-06-15;2.70
2018-06-15;2018-06-16;9.00
2018-06-16;2018-06-17;3.90
2018-06-17;2018-06-18;3.80
2018-06-18;2018-06-19;4.40
2018-06-19;2018-06-20;3.50
2018-06-20;2018-06-21;2.10
2018-06-21;2018-06-22;0.800
2018-06-22;2018-06-23;2.30
2018-06-23;2018-06-24;1.60
2018-06-24;2018-06-25;2.10
2018-06-25;2018-06-26;1.50
2018-06-26;2018-06-27;2.70
2018-06-27;2018-06-28;2.40
2018-06-28;2018-06-29;2.80
2018-06-29;2018-06-30;1.20
2018-06-30;2018-07-01;0.900
2018-07-01;2018-07-02;1.10
2018-07-02;2018-07-03;2.20
2018-07-03;2018-07-04;3.20
2018-07-04;2018-07-05;2.40
2018-07-05;2018-07-06;5.00
2018-07-06;2018-07-07;3.80
2018-07-07;2018-07-08;2.30
2018-07-08;2018-07-09;2.60
2018-07-09;2018-07-10;3.80
2018-07-10;2018-07-11;4.60
2018-07-11;2018-07-12;4.60
2018-07-12;2018-07-13;6.50
2018-07-13;2018-07-14;5.80
2018-07-14;2018-07-15;6.10
2018-07-15;2018-07-16;6.70
2018-07-16;2018-07-17;2.60
2018-07-17;2018-07-18;3.80
2018-07-18;2018-07-19;7.50
2018-07-19;2018-07-20;4.80
2018-07-20;2018-07-21;5.90
2018-07-21;2018-07-22;7.90
2018-07-22;2018-07-23;7.60
2018-07-23;2018-07-24;6.10
2018-07-24;2018-07-25;5.00
2018-07-25;2018-07-26;5.00
2018-07-26;2018-07-27;3.70
2018-07-27;2018-07-28;2.10
2018-07-28;2018-07-29;5.40
2018-07-29;2018-07-30;10.1
2018-07-30;2018-07-31;14.1
2018-07-31;2018-08-01;12.4
2018-08-01;2018-08-02;10.7
2018-08-02;2018-08-03;9.70
2018-08-03;2018-08-04;4.40
2018-08-04;2018-08-05;1.30
2018-08-05;2018-08-06;1.70
2018-08-06;2018-08-07;0.900
2018-08-07;2018-08-08;1.60
2018-08-08;2018-08-09;6.90
2018-08-09;2018-08-10;9.10
2018-08-10;2018-08-11;9.60
2018-08-11;2018-08-12;2.10
2018-08-12;2018-08-13;1.60
2018-08-13;2018-08-14;1.30
2018-08-14;2018-08-15;1.60
2018-08-15;2018-08-16;2.20
2018-08-16;2018-08-17;3.90
2018-08-17;2018-08-18;6.30
2018-08-18;2018-08-19;3.50
2018-08-19;2018-08-20;1.80
2018-08-20;2018-08-21;1.70
2018-08-21;2018-08-22;1.10
2018-08-22;2018-08-23;1.90
2018-08-23;2018-08-24;1.80
2018-08-24;2018-08-25;3.80
2018-08-25;2018-08-26;2.60
2018-08-26;2018-08-27;1.70
2018-08-27;2018-08-28;1.60
2018-08-28;2018-08-29;2.50
2018-08-29;2018-08-30;3.30
2018-08-30;2018-08-31;3.80
2018-08-31;2018-09-01;1.60
2018-09-01;2018-09-02;2.80
2018-09-02;2018-09-03;2.80
2018-09-03;2018-09-04;4.80
2018-09-04;2018-09-05;3.60
2018-09-05;2018-09-06;2.30
2018-09-06;2018-09-07;2.60
2018-09-07;2018-09-08;2.50
2018-09-08;2018-09-09;4.10
2018-09-09;2018-09-10;7.70
2018-09-10;2018-09-11;4.30
2018-09-11;2018-09-12;2.10
2018-09-12;2018-09-13;1.30
2018-09-13;2018-09-14;0.800
2018-09-14;2018-09-15;3.10
2018-09-15;2018-09-16;1.50
2018-09-16;2018-09-17;0.800
2018-09-17;2018-09-18;1.80
2018-09-18;2018-09-19;2.70
2018-09-19;2018-09-20;5.10
2018-09-20;2018-09-21;4.40
2018-09-21;2018-09-22;4.00
2018-09-22;2018-09-23;1.50
2018-09-23;2018-09-24;0.900
2018-09-24;2018-09-25;1.60
2018-09-25;2018-09-26;0.900
2018-09-26;2018-09-27;4.20
2018-09-27;2018-09-28;1.90
2018-09-28;2018-09-29;2.00
2018-09-29;2018-09-30;1.30
2018-09-30;2018-10-01;0.800
2018-10-01;2018-10-02;1.40
2018-10-02;2018-10-03;2.60
2018-10-03;2018-10-04;3.40
2018-10-04;2018-10-05;1.90
2018-10-05;2018-10-06;1.00
2018-10-06;2018-10-07;1.20
2018-10-07;2018-10-08;2.00
2018-10-08;2018-10-09;1.60
2018-10-09;2018-10-10;3.60
2018-10-10;2018-10-11;1.60
2018-10-11;2018-10-12;2.50
2018-10-12;2018-10-13;9.40
2018-10-13;2018-10-14;12.9
2018-10-14;2018-10-15;11.0
2018-10-15;2018-10-16;10.2
2018-10-16;2018-10-17;2.90
2018-10-17;2018-10-18;2.20
2018-10-18;2018-10-19;1.60
2018-10-19;2018-10-20;4.20
2018-10-20;2018-10-21;3.40
2018-10-21;2018-10-22;1.80
2018-10-22;2018-10-23;1.00
2018-10-23;2018-10-24;5.40
2018-10-24;2018-10-25;2.20
2018-10-25;2018-10-26;1.10
2018-10-26;2018-10-27;0.900
2018-10-27;2018-10-28;2.10
2018-10-28;2018-10-29;2.40
2018-10-29;2018-10-30;2.20
2018-10-30;2018-10-31;2.10
2018-10-31;2018-11-01;2.50
2018-11-01;2018-11-02;2.80
2018-11-02;2018-11-03;1.90
2018-11-03;2018-11-04;1.30
2018-11-04;2018-11-05;2.60
2018-11-05;2018-11-06;4.30
2018-11-06;2018-11-07;1.70
2018-11-07;2018-11-08;1.90
2018-11-08;2018-11-09;2.60
2018-11-09;2018-11-10;1.40
2018-11-10;2018-11-11;2.10
2018-11-11;2018-11-12;4.20
2018-11-12;2018-11-13;4.60
2018-11-13;2018-11-14;3.00
2018-11-14;2018-11-15;3.30
2018-11-15;2018-11-16;2.00
2018-11-16;2018-11-17;2.50
2018-11-17;2018-11-18;1.40
2018-11-18;2018-11-19;1.60
2018-11-19;2018-11-20;3.00
2018-11-20;2018-11-21;2.80
2018-11-21;2018-11-22;3.80
2018-11-22;2018-11-23;9.20
2018-11-23;2018-11-24;3.90
2018-11-24;2018-11-25;2.20
2018-11-25;2018-11-26;2.40
2018-11-26;2018-11-27;1.20
2018-11-27;2018-11-28;2.40
2018-11-28;2018-11-29;4.60
2018-11-29;2018-11-30;8.10
2018-11-30;2018-12-01;6.40
2018-12-01;2018-12-02;5.90
2018-12-02;2018-12-03;4.90
2018-12-03;2018-12-04;6.90
2018-12-04;2018-12-05;3.00
2018-12-05;2018-12-06;1.50
2018-12-06;2018-12-07;1.80
2018-12-07;2018-12-08;3.30
2018-12-08;2018-12-09;1.90
2018-12-09;2018-12-10;0.900
2018-12-10;2018-12-11;1.60
2018-12-11;2018-12-12;1.70
2018-12-12;2018-12-13;5.30
2018-12-13;2018-12-14;7.60
2018-12-14;2018-12-15;3.60
2018-12-15;2018-12-16;4.50
2018-12-16;2018-12-17;4.30
2018-12-17;2018-12-18;4.20
2018-12-18;2018-12-19;5.10
2018-12-19;2018-12-20;3.50
2018-12-20;2018-12-21;4.60
2018-12-21;2018-12-22;5.10
2018-12-22;2018-12-23;4.10
2018-12-23;2018-12-24;7.70
2018-12-24;2018-12-25;5.80
2018-12-25;2018-12-26;1.90
2018-12-26;2018-12-27;2.70
2018-12-27;2018-12-28;1.70
2018-12-28;2018-12-29;2.80
2018-12-29;2018-12-30;1.40
2018-12-30;2018-12-31;1.40
2018-12-31;2019-01-01;2.10
